run_id,code_type,status,failure_reason,attempts,experiment_labels,encoding,k,l,g,block_size_bytes,stripes,intra_gbps,inter_gbps,repetition,write_time_seconds,write_throughput_mib_s,round,pairs_completed,pairs_total,migration_sum_seconds,parity_sum_seconds,critical_path_seconds,end_to_end_seconds,started_at,finished_at,log_path
4167e662a06adc6a-r01,ClusterRT_LRC,success,,1,bandwidth;block_size;encoding;stripes,k6_l2_g2,6,2,2,1048576,1000,10,1,1,67.8213,0.143991,1,500,500,3.53738,11.0917,12.8403,22.2306,2026-09-17T14:51:07.849424+00:00,2026-09-17T14:53:41.990474+00:00,/users/gxt/DdlRT--LRC/experiments/results/logs/4167e662a06adc6a-r01-attempt01.log
4167e662a06adc6a-r01,ClusterRT_LRC,success,,1,bandwidth;block_size;encoding;stripes,k6_l2_g2,6,2,2,1048576,1000,10,1,1,67.8213,0.143991,2,250,250,4.625,4.78706,7.00186,12.5568,2026-09-17T14:51:07.849424+00:00,2026-09-17T14:53:41.990474+00:00,/users/gxt/DdlRT--LRC/experiments/results/logs/4167e662a06adc6a-r01-attempt01.log
4167e662a06adc6a-r02,ClusterRT_LRC,success,,1,bandwidth;block_size;encoding;stripes,k6_l2_g2,6,2,2,1048576,1000,10,1,2,67.6849,0.144281,1,500,500,3.52431,11.067,12.8355,22.2263,2026-09-17T14:53:44.792721+00:00,2026-09-17T14:56:18.713628+00:00,/users/gxt/DdlRT--LRC/experiments/results/logs/4167e662a06adc6a-r02-attempt01.log
4167e662a06adc6a-r02,ClusterRT_LRC,success,,1,bandwidth;block_size;encoding;stripes,k6_l2_g2,6,2,2,1048576,1000,10,1,2,67.6849,0.144281,2,250,250,4.5924,4.71629,6.92843,12.4527,2026-09-17T14:53:44.792721+00:00,2026-09-17T14:56:18.713628+00:00,/users/gxt/DdlRT--LRC/experiments/results/logs/4167e662a06adc6a-r02-attempt01.log
4167e662a06adc6a-r03,ClusterRT_LRC,success,,1,bandwidth;block_size;encoding;stripes,k6_l2_g2,6,2,2,1048576,1000,10,1,3,66.5763,0.146683,1,500,500,3.55488,10.9522,12.7666,22.1481,2026-09-17T14:56:21.610415+00:00,2026-09-17T14:58:54.515977+00:00,/users/gxt/DdlRT--LRC/experiments/results/logs/4167e662a06adc6a-r03-attempt01.log
4167e662a06adc6a-r03,ClusterRT_LRC,success,,1,bandwidth;block_size;encoding;stripes,k6_l2_g2,6,2,2,1048576,1000,10,1,3,66.5763,0.146683,2,250,250,4.56154,4.7868,6.9408,12.5042,2026-09-17T14:56:21.610415+00:00,2026-09-17T14:58:54.515977+00:00,/users/gxt/DdlRT--LRC/experiments/results/logs/4167e662a06adc6a-r03-attempt01.log
4167e662a06adc6a-r04,ClusterRT_LRC,success,,1,bandwidth;block_size;encoding;stripes,k6_l2_g2,6,2,2,1048576,1000,10,1,4,66.4043,0.147063,1,500,500,3.4979,11.0065,12.7465,22.1589,2026-09-17T14:58:57.418077+00:00,2026-09-17T15:01:29.485865+00:00,/users/gxt/DdlRT--LRC/experiments/results/logs/4167e662a06adc6a-r04-attempt01.log
4167e662a06adc6a-r04,ClusterRT_LRC,success,,1,bandwidth;block_size;encoding;stripes,k6_l2_g2,6,2,2,1048576,1000,10,1,4,66.4043,0.147063,2,250,250,4.5997,4.84756,7.00766,12.5655,2026-09-17T14:58:57.418077+00:00,2026-09-17T15:01:29.485865+00:00,/users/gxt/DdlRT--LRC/experiments/results/logs/4167e662a06adc6a-r04-attempt01.log
4167e662a06adc6a-r05,ClusterRT_LRC,success,,1,bandwidth;block_size;encoding;stripes,k6_l2_g2,6,2,2,1048576,1000,10,1,5,67.2041,0.145313,1,500,500,3.52489,11.1666,12.9246,22.364,2026-09-17T15:01:32.414273+00:00,2026-09-17T15:04:05.921887+00:00,/users/gxt/DdlRT--LRC/experiments/results/logs/4167e662a06adc6a-r05-attempt01.log
4167e662a06adc6a-r05,ClusterRT_LRC,success,,1,bandwidth;block_size;encoding;stripes,k6_l2_g2,6,2,2,1048576,1000,10,1,5,67.2041,0.145313,2,250,250,4.58419,4.76499,6.963,12.5361,2026-09-17T15:01:32.414273+00:00,2026-09-17T15:04:05.921887+00:00,/users/gxt/DdlRT--LRC/experiments/results/logs/4167e662a06adc6a-r05-attempt01.log
