1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	1
3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	1	2
4	5	6	7	8	9	10	11	12	13	14	15	16	17	1	2	3
5	6	7	8	9	10	11	12	13	14	15	16	17	1	2	3	4
6	7	8	9	10	11	12	13	14	15	16	17	1	2	3	4	5
7	8	9	10	11	12	13	14	15	16	17	1	2	3	4	5	6
8	9	10	11	12	13	14	15	16	17	1	2	3	4	5	6	7
9	10	11	12	13	14	15	16	17	1	2	3	4	5	6	7	8
10	11	12	13	14	15	16	17	1	2	3	4	5	6	7	8	9
11	12	13	14	15	16	17	1	2	3	4	5	6	7	8	9	10
12	13	14	15	16	17	1	2	3	4	5	6	7	8	9	10	11
13	14	15	16	17	1	2	3	4	5	6	7	8	9	10	11	12
14	15	16	17	1	2	3	4	5	6	7	8	9	10	11	12	13
15	16	17	1	2	3	4	5	6	7	8	9	10	11	12	13	14
16	17	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
17	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
1	3	5	7	9	11	13	15	17	2	4	6	8	10	12	14	16
2	4	6	8	10	12	14	16	1	3	5	7	9	11	13	15	17
3	5	7	9	11	13	15	17	2	4	6	8	10	12	14	16	1
4	6	8	10	12	14	16	1	3	5	7	9	11	13	15	17	2
5	7	9	11	13	15	17	2	4	6	8	10	12	14	16	1	3
6	8	10	12	14	16	1	3	5	7	9	11	13	15	17	2	4
7	9	11	13	15	17	2	4	6	8	10	12	14	16	1	3	5
8	10	12	14	16	1	3	5	7	9	11	13	15	17	2	4	6
9	11	13	15	17	2	4	6	8	10	12	14	16	1	3	5	7
10	12	14	16	1	3	5	7	9	11	13	15	17	2	4	6	8
11	13	15	17	2	4	6	8	10	12	14	16	1	3	5	7	9
12	14	16	1	3	5	7	9	11	13	15	17	2	4	6	8	10
13	15	17	2	4	6	8	10	12	14	16	1	3	5	7	9	11
14	16	1	3	5	7	9	11	13	15	17	2	4	6	8	10	12
15	17	2	4	6	8	10	12	14	16	1	3	5	7	9	11	13
16	1	3	5	7	9	11	13	15	17	2	4	6	8	10	12	14
17	2	4	6	8	10	12	14	16	1	3	5	7	9	11	13	15
1	4	7	10	13	16	2	5	8	11	14	17	3	6	9	12	15
2	5	8	11	14	17	3	6	9	12	15	1	4	7	10	13	16
3	6	9	12	15	1	4	7	10	13	16	2	5	8	11	14	17
4	7	10	13	16	2	5	8	11	14	17	3	6	9	12	15	1
5	8	11	14	17	3	6	9	12	15	1	4	7	10	13	16	2
6	9	12	15	1	4	7	10	13	16	2	5	8	11	14	17	3
7	10	13	16	2	5	8	11	14	17	3	6	9	12	15	1	4
8	11	14	17	3	6	9	12	15	1	4	7	10	13	16	2	5
9	12	15	1	4	7	10	13	16	2	5	8	11	14	17	3	6
10	13	16	2	5	8	11	14	17	3	6	9	12	15	1	4	7
11	14	17	3	6	9	12	15	1	4	7	10	13	16	2	5	8
12	15	1	4	7	10	13	16	2	5	8	11	14	17	3	6	9
13	16	2	5	8	11	14	17	3	6	9	12	15	1	4	7	10
14	17	3	6	9	12	15	1	4	7	10	13	16	2	5	8	11
15	1	4	7	10	13	16	2	5	8	11	14	17	3	6	9	12
16	2	5	8	11	14	17	3	6	9	12	15	1	4	7	10	13
17	3	6	9	12	15	1	4	7	10	13	16	2	5	8	11	14
1	5	9	13	17	4	8	12	16	3	7	11	15	2	6	10	14
2	6	10	14	1	5	9	13	17	4	8	12	16	3	7	11	15
3	7	11	15	2	6	10	14	1	5	9	13	17	4	8	12	16
4	8	12	16	3	7	11	15	2	6	10	14	1	5	9	13	17
5	9	13	17	4	8	12	16	3	7	11	15	2	6	10	14	1
6	10	14	1	5	9	13	17	4	8	12	16	3	7	11	15	2
7	11	15	2	6	10	14	1	5	9	13	17	4	8	12	16	3
8	12	16	3	7	11	15	2	6	10	14	1	5	9	13	17	4
9	13	17	4	8	12	16	3	7	11	15	2	6	10	14	1	5
10	14	1	5	9	13	17	4	8	12	16	3	7	11	15	2	6
11	15	2	6	10	14	1	5	9	13	17	4	8	12	16	3	7
12	16	3	7	11	15	2	6	10	14	1	5	9	13	17	4	8
13	17	4	8	12	16	3	7	11	15	2	6	10	14	1	5	9
14	1	5	9	13	17	4	8	12	16	3	7	11	15	2	6	10
15	2	6	10	14	1	5	9	13	17	4	8	12	16	3	7	11
16	3	7	11	15	2	6	10	14	1	5	9	13	17	4	8	12
17	4	8	12	16	3	7	11	15	2	6	10	14	1	5	9	13
1	6	11	16	4	9	14	2	7	12	17	5	10	15	3	8	13
2	7	12	17	5	10	15	3	8	13	1	6	11	16	4	9	14
3	8	13	1	6	11	16	4	9	14	2	7	12	17	5	10	15
4	9	14	2	7	12	17	5	10	15	3	8	13	1	6	11	16
5	10	15	3	8	13	1	6	11	16	4	9	14	2	7	12	17
6	11	16	4	9	14	2	7	12	17	5	10	15	3	8	13	1
7	12	17	5	10	15	3	8	13	1	6	11	16	4	9	14	2
8	13	1	6	11	16	4	9	14	2	7	12	17	5	10	15	3
9	14	2	7	12	17	5	10	15	3	8	13	1	6	11	16	4
10	15	3	8	13	1	6	11	16	4	9	14	2	7	12	17	5
11	16	4	9	14	2	7	12	17	5	10	15	3	8	13	1	6
12	17	5	10	15	3	8	13	1	6	11	16	4	9	14	2	7
13	1	6	11	16	4	9	14	2	7	12	17	5	10	15	3	8
14	2	7	12	17	5	10	15	3	8	13	1	6	11	16	4	9
15	3	8	13	1	6	11	16	4	9	14	2	7	12	17	5	10
16	4	9	14	2	7	12	17	5	10	15	3	8	13	1	6	11
17	5	10	15	3	8	13	1	6	11	16	4	9	14	2	7	12
1	7	13	2	8	14	3	9	15	4	10	16	5	11	17	6	12
2	8	14	3	9	15	4	10	16	5	11	17	6	12	1	7	13
3	9	15	4	10	16	5	11	17	6	12	1	7	13	2	8	14
4	10	16	5	11	17	6	12	1	7	13	2	8	14	3	9	15
5	11	17	6	12	1	7	13	2	8	14	3	9	15	4	10	16
6	12	1	7	13	2	8	14	3	9	15	4	10	16	5	11	17
7	13	2	8	14	3	9	15	4	10	16	5	11	17	6	12	1
8	14	3	9	15	4	10	16	5	11	17	6	12	1	7	13	2
9	15	4	10	16	5	11	17	6	12	1	7	13	2	8	14	3
10	16	5	11	17	6	12	1	7	13	2	8	14	3	9	15	4
11	17	6	12	1	7	13	2	8	14	3	9	15	4	10	16	5
12	1	7	13	2	8	14	3	9	15	4	10	16	5	11	17	6
13	2	8	14	3	9	15	4	10	16	5	11	17	6	12	1	7
